Name,Jersey Number,Club,Position,Nationality,Age,Appearances,Wins,Losses,Goals,Goals per match,Headed goals,Goals with right foot,Goals with left foot,Penalties scored,Freekicks scored,Shots,Shots on target,Shooting accuracy,Hit woodwork,Big chances missed,Big chances missed per match,Clean sheets,Goals conceded,Goals conceded  per match,Tackles,Tackle success %,Last man tackles,Blocked shots,Interceptions,Clearances,Headed Clearance,Clearances off line,Recoveries,Duels won,Duels lost,Successful 50/50s 1v1,Successful 50/50s per match,Aerial battles won,Aerial battles lost,Own goals,Errors leading to goal,Assists,Assists per match,Passes,Passes per match,Big chances created,Big chances created per match,Crosses,Cross accuracy %,Through balls,Accurate long balls,Accurate long balls per match,Saves,Saves per match,Penalties saved,Penalties saved per match,Punches,High Claims,Catches,Sweeper clearances,Throw outs,Goal Kicks,Yellow cards,Red cards,Fouls,Offsides
Sean Longstaff,36,Newcastle-United,Midfielder,England,22,33,12,15,2,0.06,0,1,1,0,0,33,9,27%,1,0,0,0,0,0,52,62%,0,10,29,28,8,0,119,123,134,12,0.36,26,33,0,1,1,0.03,925,28.03,3,0.09,36,28%,1,64,1.94,0,0,0,0,0,0,0,0,0,0,4,1,24,0
Matthew Longstaff,4,Newcastle-United,Midfielder,England,20,9,2,4,2,0.22,0,2,0,0,0,4,2,50%,1,0,0,0,0,0,3,33%,0,1,5,3,1,0,38,17,29,3,0.33,6,5,0,0,0,0,255,28.33,1,0.11,2,50%,1,10,1.11,0,0,0,0,0,0,0,0,0,0,1,0,6,0
Jeff Hendrick,16,Newcastle-United,Midfielder,Ireland,28,124,41,55,10,0.08,1,8,1,0,0,99,25,25%,0,7,0.06,0,0,0,91,55%,0,38,80,93,45,0,510,349,520,84,0.68,94,147,0,0,6,0.05,3063,24.7,7,0.06,95,20%,10,134,1.08,0,0,0,0,0,0,0,0,0,0,19,1,97,34
Ryan Fraser,21,Newcastle-United,Midfielder,Scotland,26,121,34,59,16,0.13,0,13,3,0,1,132,61,46%,1,7,0.06,0,0,0,57,65%,0,38,67,80,34,0,413,364,360,66,0.55,31,97,0,0,26,0.21,3469,28.67,41,0.34,711,23%,16,94,0.78,0,0,0,0,0,0,0,0,0,0,7,0,40,14
Henri Saivet,28,Newcastle-United,Midfielder,Senegal,29,5,3,2,1,0.2,0,1,0,0,1,1,1,100%,0,0,0,0,0,0,18,67%,0,0,9,10,3,0,24,23,20,1,0.2,3,7,0,1,0,0,106,21.2,0,0,2,2%,0,4,0.8,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Daniel Barlaser,32,Newcastle-United,Midfielder,England,23,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
George Baldock,2,Sheffield-United,Defender,England,27,40,14,14,2,0,0,2,0,0,0,0,0,0,0,0,0,13,42,1.05,64,69%,0,4,36,70,36,0,177,192,182,42,1.05,41,60,0,1,3,0.08,1178,29.45,3,0.08,136,27%,0,22,0.55,0,0,0,0,0,0,0,0,0,0,7,0,52,11
Enda Stevens,3,Sheffield-United,Defender,Ireland,30,47,16,17,2,0,1,0,1,0,0,0,0,0,0,0,0,13,52,1.11,98,57%,0,7,48,96,35,0,253,228,219,67,1.43,39,38,0,2,4,0.09,1670,35.53,9,0.19,135,18%,2,82,1.74,0,0,0,0,0,0,0,0,0,0,8,0,46,2
Jack O'Connell,5,Sheffield-United,Defender,England,26,35,13,11,0,0,0,0,0,0,0,0,0,0,0,0,0,12,31,0.89,26,58%,1,3,44,151,80,0,192,190,124,9,0.26,140,76,0,1,1,0.03,1634,46.69,6,0.17,52,21%,1,129,3.69,0,0,0,0,0,0,0,0,0,0,4,0,22,3
Chris Basham,6,Sheffield-United,Defender,England,32,61,20,24,1,0,0,1,0,0,0,0,0,0,0,0,0,12,52,0.85,126,62%,0,0,93,215,117,0,246,324,191,30,0.49,129,77,0,1,3,0.05,1656,27.15,2,0.03,65,12%,0,97,1.59,0,0,0,0,0,0,0,0,0,0,5,0,39,5
John Egan,12,Sheffield-United,Defender,Ireland,27,38,14,13,2,0,1,1,0,0,0,0,0,0,0,0,0,12,32,0.84,46,61%,1,14,58,168,79,0,181,204,133,1,0.03,138,80,0,1,0,0,1340,35.26,1,0.03,3,3%,0,114,3,0,0,0,0,0,0,0,0,0,0,4,2,37,1
Jack Robinson,19,Sheffield-United,Defender,England,27,9,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,1.33,14,43%,0,0,10,28,7,0,37,35,21,3,0.33,14,10,0,0,0,0,291,32.33,0,0,7,14%,0,15,1.67,0,0,0,0,0,0,0,0,0,0,1,0,5,1
Kean Bryan,29,Sheffield-United,Defender,England,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Phil Jagielka,15,Sheffield-United,Defender,England,38,366,147,111,18,0,10,8,0,0,0,0,0,0,7,0,0,107,405,1.11,703,76%,24,39,618,2974,1075,10,1626,1842,928,35,0.1,783,495,6,6,9,0.02,14775,40.37,8,0.02,131,30%,11,1830,5,0,0,0,0,0,0,0,0,0,0,23,2,159,3
Max Lowe,13,Sheffield-United,Defender,England,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ethan Ampadu,22,Sheffield-United,Defender,Wales,20,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,100%,0,0,0,9,6,0,1,4,3,1,0.5,1,3,0,0,0,0,28,14,0,0,0,0%,0,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jayden Bogle,20,Sheffield-United,Defender,England,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oliver McBurnie,9,Sheffield-United,Forward,Scotland,24,54,17,25,6,0.11,2,4,0,0,0,60,31,52%,0,10,0.19,0,0,0,45,0,0,8,17,45,40,0,0,0,0,0,0,0,0,0,0,1,0.02,785,14.54,3,0.06,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,35,5
Billy Sharp,10,Sheffield-United,Forward,England,34,28,7,13,3,0.11,1,1,1,0,0,17,7,41%,1,6,0.21,0,0,0,7,0,0,3,1,3,3,0,0,0,0,0,0,0,0,0,0,2,0.07,233,8.32,5,0.18,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,20,14
David McGoldrick,17,Sheffield-United,Forward,Ireland,32,30,10,10,2,0.07,0,1,1,0,0,47,20,43%,0,15,0.5,0,0,0,41,0,0,9,3,24,18,0,0,0,0,0,0,0,0,0,0,2,0.07,636,21.2,4,0.13,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,33,12
Lys Mousset,11,Sheffield-United,Forward,France,24,88,31,38,9,0.1,1,6,2,0,0,81,24,30%,1,11,0.13,0,0,0,25,0,0,25,8,17,10,0,0,0,0,0,0,0,0,0,0,4,0.05,585,6.65,9,0.1,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,48,21
Wes Foderingham,18,Sheffield-United,Goalkeeper,England,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Michael Verrips,21,Sheffield-United,Goalkeeper,Netherlands,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
